Date,^DJI,^GSPC,^IXIC
2024-08-09,39497.5390625,5344.16015625,16745.30078125
2024-08-12,39357.01171875,5344.39013671875,16780.609375
2024-08-13,39765.640625,5434.43017578125,17187.609375
2024-08-14,40008.390625,5455.2099609375,17192.599609375
2024-08-15,40563.05859375,5543.22021484375,17594.5
2024-08-16,40659.76171875,5554.25,17631.720703125
2024-08-19,40896.53125,5608.25,17876.76953125
2024-08-20,40834.96875,5597.1201171875,17816.939453125
2024-08-21,40890.48828125,5620.85009765625,17918.990234375
2024-08-22,40712.78125,5570.64013671875,17619.349609375
2024-08-23,41175.078125,5634.60986328125,17877.7890625
2024-08-26,41240.51953125,5616.83984375,17725.76953125
2024-08-27,41250.5,5625.7998046875,17754.8203125
2024-08-28,41091.421875,5592.18017578125,17556.029296875
2024-08-29,41335.05078125,5591.9599609375,17516.4296875
2024-08-30,41563.078125,5648.39990234375,17713.619140625
2024-09-03,40936.9296875,5528.93017578125,17136.30078125
2024-09-04,40974.96875,5520.06982421875,17084.30078125
2024-09-05,40755.75,5503.41015625,17127.66015625
2024-09-06,40345.41015625,5408.419921875,16690.830078125
2024-09-09,40829.58984375,5471.0498046875,16884.599609375
2024-09-10,40736.9609375,5495.52001953125,17025.880859375
2024-09-11,40861.7109375,5554.1298828125,17395.529296875
2024-09-12,41096.76953125,5595.759765625,17569.6796875
2024-09-13,41393.78125,5626.02001953125,17683.98046875
2024-09-16,41622.078125,5633.08984375,17592.130859375
2024-09-17,41606.1796875,5634.580078125,17628.060546875
2024-09-18,41503.1015625,5618.259765625,17573.30078125
2024-09-19,42025.19140625,5713.64013671875,18013.98046875
2024-09-20,42063.359375,5702.5498046875,17948.3203125
2024-09-23,42124.6484375,5718.56982421875,17974.26953125
2024-09-24,42208.21875,5732.93017578125,18074.51953125
2024-09-25,41914.75,5722.259765625,18082.2109375
2024-09-26,42175.109375,5745.3701171875,18190.2890625
2024-09-27,42313.0,5738.169921875,18119.58984375
2024-09-30,42330.1484375,5762.47998046875,18189.169921875
2024-10-01,42156.96875,5708.75,17910.359375
2024-10-02,42196.51953125,5709.5400390625,17925.119140625
2024-10-03,42011.58984375,5699.93994140625,17918.48046875
2024-10-04,42352.75,5751.06982421875,18137.849609375
2024-10-07,41954.23828125,5695.93994140625,17923.900390625
